player_ESPN,bet_type,odds,line,over_under,home,away,bet_id,closed_date
SpencerDinwiddie,ARP,1.79,23.5,Under,den,dal,3197986187,2022-12-07T03:00:00Z
TimHardaway Jr.,REB,1.74,2.5,Over,den,dal,3197986183,2022-12-07T03:00:00Z
TimHardaway Jr.,REB,2.07,2.5,Under,den,dal,3197986188,2022-12-07T03:00:00Z
SpencerDinwiddie,AST,1.86,4.5,Over,den,dal,3197986196,2022-12-07T03:00:00Z
SpencerDinwiddie,AST,1.92,4.5,Under,den,dal,3197986203,2022-12-07T03:00:00Z
DorianFinney-Smith,3PM,1.93,1.5,Over,den,dal,3197986200,2022-12-07T03:00:00Z
DorianFinney-Smith,3PM,1.85,1.5,Under,den,dal,3197986206,2022-12-07T03:00:00Z
TimHardaway Jr.,3PM,2.4,3.5,Over,den,dal,3197986326,2022-12-07T03:00:00Z
TimHardaway Jr.,3PM,1.55,3.5,Under,den,dal,3197986329,2022-12-07T03:00:00Z
SpencerDinwiddie,3PM,2.08,2.5,Over,den,dal,3197986328,2022-12-07T03:00:00Z
SpencerDinwiddie,3PM,1.73,2.5,Under,den,dal,3197986330,2022-12-07T03:00:00Z
TimHardaway Jr.,PTS,1.89,15.5,Over,den,dal,3197986390,2022-12-07T03:00:00Z
TimHardaway Jr.,PTS,1.89,15.5,Under,den,dal,3197986392,2022-12-07T03:00:00Z
DorianFinney-Smith,PTS,1.83,7.5,Over,den,dal,3197986393,2022-12-07T03:00:00Z
DorianFinney-Smith,PTS,1.95,7.5,Under,den,dal,3197986395,2022-12-07T03:00:00Z
SpencerDinwiddie,PTS,1.91,15.5,Over,den,dal,3197986394,2022-12-07T03:00:00Z
SpencerDinwiddie,PTS,1.88,15.5,Under,den,dal,3197986396,2022-12-07T03:00:00Z
SpencerDinwiddie,REB,1.71,2.5,Over,den,dal,3197986483,2022-12-07T03:00:00Z
SpencerDinwiddie,REB,2.12,2.5,Under,den,dal,3197986484,2022-12-07T03:00:00Z
DorianFinney-Smith,REB,1.83,3.5,Over,den,dal,3197986508,2022-12-07T03:00:00Z
DorianFinney-Smith,REB,1.95,3.5,Under,den,dal,3197986510,2022-12-07T03:00:00Z
NikolaJokic,PTS,1.95,25.5,Over,den,dal,3197986868,2022-12-07T03:00:00Z
NikolaJokic,PTS,1.83,25.5,Under,den,dal,3197986869,2022-12-07T03:00:00Z
NikolaJokic,REB,1.77,10.5,Over,den,dal,3198022707,2022-12-07T03:00:00Z
NikolaJokic,REB,2.02,10.5,Under,den,dal,3198022708,2022-12-07T03:00:00Z
JamalMurray,AST,1.79,4.5,Over,den,dal,3197924943,2022-12-07T03:00:00Z
JamalMurray,AST,2.0,4.5,Under,den,dal,3197924953,2022-12-07T03:00:00Z
NikolaJokic,PTS,1.88,24.5,Over,den,dal,3197924945,2022-12-07T03:00:00Z
NikolaJokic,PTS,1.9,24.5,Under,den,dal,3197924955,2022-12-07T03:00:00Z
LukaDoncic,AST,1.85,8.5,Over,den,dal,3197924946,2022-12-07T03:00:00Z
LukaDoncic,AST,1.93,8.5,Under,den,dal,3197924958,2022-12-07T03:00:00Z
JamalMurray,REB,1.68,3.5,Over,den,dal,3197924952,2022-12-07T03:00:00Z
JamalMurray,REB,2.16,3.5,Under,den,dal,3197924962,2022-12-07T03:00:00Z
LukaDoncic,3PM,1.66,2.5,Over,den,dal,3197924968,2022-12-07T03:00:00Z
LukaDoncic,3PM,2.2,2.5,Under,den,dal,3197924975,2022-12-07T03:00:00Z
JamalMurray,3PM,2.3,2.5,Over,den,dal,3197924969,2022-12-07T03:00:00Z
LukaDoncic,PTS,1.87,32.5,Over,den,dal,3197925040,2022-12-07T03:00:00Z
LukaDoncic,PTS,1.91,32.5,Under,den,dal,3197925044,2022-12-07T03:00:00Z
AaronGordon,PTS,2.02,15.5,Over,den,dal,3197925042,2022-12-07T03:00:00Z
AaronGordon,PTS,1.77,15.5,Under,den,dal,3197925045,2022-12-07T03:00:00Z
NikolaJokic,AST,2.05,8.5,Over,den,dal,3197925100,2022-12-07T03:00:00Z
NikolaJokic,AST,1.75,8.5,Under,den,dal,3197925104,2022-12-07T03:00:00Z
LukaDoncic,ARP,1.9,49.5,Over,den,dal,3197959506,2022-12-07T03:00:00Z
LukaDoncic,ARP,1.88,49.5,Under,den,dal,3197959507,2022-12-07T03:00:00Z
LukaDoncic,REB,1.7,7.5,Over,den,dal,3197985665,2022-12-07T03:00:00Z
LukaDoncic,REB,2.14,7.5,Under,den,dal,3197985666,2022-12-07T03:00:00Z
SpencerDinwiddie,ARP,1.98,23.5,Over,den,dal,3197986181,2022-12-07T03:00:00Z
SpencerDinwiddie,ARP,1.81,23.5,Under,den,dal,3197986187,2022-12-07T03:00:00Z
TimHardaway Jr.,REB,1.77,2.5,Over,den,dal,3197986183,2022-12-07T03:00:00Z
TimHardaway Jr.,REB,2.04,2.5,Under,den,dal,3197986188,2022-12-07T03:00:00Z
DorianFinney-Smith,3PM,1.84,1.5,Over,den,dal,3197986200,2022-12-07T03:00:00Z
DorianFinney-Smith,3PM,1.95,1.5,Under,den,dal,3197986206,2022-12-07T03:00:00Z
TimHardaway Jr.,3PM,1.56,3.5,Under,den,dal,3197986329,2022-12-07T03:00:00Z
SpencerDinwiddie,3PM,2.1,2.5,Over,den,dal,3197986328,2022-12-07T03:00:00Z
SpencerDinwiddie,3PM,1.71,2.5,Under,den,dal,3197986330,2022-12-07T03:00:00Z
DorianFinney-Smith,PTS,1.77,7.5,Over,den,dal,3197986393,2022-12-07T03:00:00Z
DorianFinney-Smith,PTS,2.02,7.5,Under,den,dal,3197986395,2022-12-07T03:00:00Z
SpencerDinwiddie,PTS,1.89,15.5,Over,den,dal,3197986394,2022-12-07T03:00:00Z
SpencerDinwiddie,PTS,1.89,15.5,Under,den,dal,3197986396,2022-12-07T03:00:00Z
SpencerDinwiddie,REB,1.73,2.5,Over,den,dal,3197986483,2022-12-07T03:00:00Z
SpencerDinwiddie,REB,2.08,2.5,Under,den,dal,3197986484,2022-12-07T03:00:00Z
DorianFinney-Smith,REB,1.86,3.5,Over,den,dal,3197986508,2022-12-07T03:00:00Z
DorianFinney-Smith,REB,1.92,3.5,Under,den,dal,3197986510,2022-12-07T03:00:00Z
JamalMurray,PTS,1.8,19.5,Over,den,dal,3197986864,2022-12-07T03:00:00Z
JamalMurray,PTS,1.98,19.5,Under,den,dal,3197986865,2022-12-07T03:00:00Z
NikolaJokic,REB,1.85,10.5,Over,den,dal,3198022707,2022-12-07T03:00:00Z
NikolaJokic,REB,1.93,10.5,Under,den,dal,3198022708,2022-12-07T03:00:00Z
NikolaJokic,ARP,1.84,43.5,Over,den,dal,3198083024,2022-12-07T03:00:00Z
NikolaJokic,ARP,1.95,43.5,Under,den,dal,3198083026,2022-12-07T03:00:00Z
JamalMurray,ARP,1.84,28.5,Over,den,dal,3198083025,2022-12-07T03:00:00Z
