,OPP,Result,MIN,FG%,3P%,FT%,REB,AST,BLK,STL,PF,TO,PTS,FGM,FGA,3PM,3PA,FTM,FTA,type,Date,season_id,player_id,player_name,team
5,MIN,W124-98,23.0,40.0,100.0,100.0,9.0,4.0,1.0,0.0,4.0,2.0,10.0,4.0,10.0,1.0,1.0,1.0,1.0,home,2018-12-21,2018,2983,LaMarcusAldridge,bkn
6,ORL,W129-90,26.0,66.7,0.0,88.9,3.0,4.0,0.0,2.0,1.0,2.0,20.0,6.0,9.0,0.0,1.0,8.0,9.0,away,2018-12-19,2018,2983,LaMarcusAldridge,bkn
7,PHI,W123-96,27.0,57.1,0.0,100.0,10.0,2.0,3.0,0.0,3.0,0.0,20.0,8.0,14.0,0.0,0.0,4.0,4.0,home,2018-12-17,2018,2983,LaMarcusAldridge,bkn
8,CHI,L98-93,37.0,62.5,0.0,81.8,12.0,1.0,1.0,0.0,1.0,0.0,29.0,10.0,16.0,0.0,0.0,9.0,11.0,home,2018-12-15,2018,2983,LaMarcusAldridge,bkn
9,LAC,W125-87,27.0,85.7,100.0,50.0,4.0,1.0,0.0,2.0,3.0,2.0,27.0,12.0,14.0,1.0,1.0,2.0,4.0,home,2018-12-13,2018,2983,LaMarcusAldridge,bkn
10,PHX,W111-86,24.0,50.0,0.0,50.0,5.0,0.0,1.0,1.0,2.0,4.0,18.0,8.0,16.0,0.0,0.0,2.0,4.0,home,2018-12-11,2018,2983,LaMarcusAldridge,bkn
11,UTAH,W110-97,29.0,66.7,0.0,0.0,6.0,1.0,3.0,0.0,5.0,2.0,20.0,10.0,15.0,0.0,0.0,0.0,0.0,home,2018-12-09,2018,2983,LaMarcusAldridge,bkn
12,LAL,W133-120,23.0,37.5,0.0,100.0,8.0,1.0,1.0,0.0,3.0,0.0,14.0,6.0,16.0,0.0,0.0,2.0,2.0,home,2018-12-07,2018,2983,LaMarcusAldridge,bkn
13,LAL,L121-113,32.0,50.0,0.0,100.0,9.0,1.0,1.0,1.0,4.0,2.0,21.0,7.0,14.0,0.0,0.0,7.0,7.0,away,2018-12-05,2018,2983,LaMarcusAldridge,bkn
14,UTAH,L139-105,22.0,70.0,0.0,100.0,3.0,2.0,1.0,1.0,1.0,3.0,16.0,7.0,10.0,0.0,0.0,2.0,2.0,away,2018-12-04,2018,2983,LaMarcusAldridge,bkn
