player_ESPN,bet_type,odds,line,over_under,home,away,bet_id,closed_date,diff,actual,is_hit
JamalMurray,ARP,2.0,27.5,Under,ind,den,3186534337,2022-11-10T00:40:00Z,2.5,30.0,False
MichaelPorter Jr.,REB,2.16,7.5,Over,ind,den,3186534310,2022-11-10T00:40:00Z,1.5,6.0,False
MichaelPorter Jr.,REB,1.68,7.5,Under,ind,den,3186534342,2022-11-10T00:40:00Z,1.5,6.0,True
KentaviousCaldwell-Pope,AST,2.08,2.5,Over,ind,den,3186534312,2022-11-10T00:40:00Z,0.5,2.0,False
KentaviousCaldwell-Pope,AST,1.73,2.5,Under,ind,den,3186534345,2022-11-10T00:40:00Z,0.5,2.0,True
KentaviousCaldwell-Pope,PTS,1.9,11.5,Over,ind,den,3186534362,2022-11-10T00:40:00Z,3.5,15.0,True
KentaviousCaldwell-Pope,PTS,1.88,11.5,Under,ind,den,3186534389,2022-11-10T00:40:00Z,3.5,15.0,False
AaronGordon,PTS,1.82,13.5,Over,ind,den,3186534365,2022-11-10T00:40:00Z,4.5,18.0,True
AaronGordon,PTS,1.97,13.5,Under,ind,den,3186534393,2022-11-10T00:40:00Z,4.5,18.0,False
KentaviousCaldwell-Pope,3PM,2.4,2.5,Over,ind,den,3186534371,2022-11-10T00:40:00Z,0.5,3.0,True
KentaviousCaldwell-Pope,3PM,1.56,2.5,Under,ind,den,3186534399,2022-11-10T00:40:00Z,0.5,3.0,False
JamalMurray,3PM,2.32,2.5,Over,ind,den,3186534373,2022-11-10T00:40:00Z,1.5,1.0,False
JamalMurray,3PM,1.6,2.5,Under,ind,den,3186534402,2022-11-10T00:40:00Z,1.5,1.0,True
MichaelPorter Jr.,3PM,1.61,2.5,Over,ind,den,3186534383,2022-11-10T00:40:00Z,0.5,3.0,True
MichaelPorter Jr.,3PM,2.28,2.5,Under,ind,den,3186534411,2022-11-10T00:40:00Z,0.5,3.0,False
KentaviousCaldwell-Pope,ARP,1.92,17.5,Over,ind,den,3186534551,2022-11-10T00:40:00Z,7.5,25.0,True
KentaviousCaldwell-Pope,ARP,1.86,17.5,Under,ind,den,3186534553,2022-11-10T00:40:00Z,7.5,25.0,False
NikolaJokic,ARP,1.86,44.5,Over,ind,den,3186534552,2022-11-10T00:40:00Z,10.5,34.0,False
NikolaJokic,ARP,1.93,44.5,Under,ind,den,3186534555,2022-11-10T00:40:00Z,10.5,34.0,True
NikolaJokic,REB,1.85,11.5,Over,ind,den,3186534557,2022-11-10T00:40:00Z,7.5,4.0,False
NikolaJokic,REB,1.93,11.5,Under,ind,den,3186534561,2022-11-10T00:40:00Z,7.5,4.0,True
NikolaJokic,AST,1.74,8.5,Over,ind,den,3186534559,2022-11-10T00:40:00Z,2.5,6.0,False
NikolaJokic,AST,2.07,8.5,Under,ind,den,3186534564,2022-11-10T00:40:00Z,2.5,6.0,True
NikolaJokic,PTS,1.81,23.5,Over,ind,den,3186534563,2022-11-10T00:40:00Z,0.5,24.0,True
NikolaJokic,PTS,1.98,23.5,Under,ind,den,3186534566,2022-11-10T00:40:00Z,0.5,24.0,False
JamalMurray,PTS,1.88,19.5,Over,ind,den,3186534567,2022-11-10T00:40:00Z,1.5,18.0,False
JamalMurray,PTS,1.9,19.5,Under,ind,den,3186534568,2022-11-10T00:40:00Z,1.5,18.0,True
AaronGordon,3PM,1.55,0.5,Over,ind,den,3186534582,2022-11-10T00:40:00Z,0.5,1.0,True
AaronGordon,3PM,2.43,0.5,Under,ind,den,3186534583,2022-11-10T00:40:00Z,0.5,1.0,False
MichaelPorter Jr.,ARP,1.96,25.5,Over,ind,den,3186534592,2022-11-10T00:40:00Z,0.5,25.0,False
MichaelPorter Jr.,ARP,1.82,25.5,Under,ind,den,3186534594,2022-11-10T00:40:00Z,0.5,25.0,True
KentaviousCaldwell-Pope,REB,2.12,3.5,Over,ind,den,3186534598,2022-11-10T00:40:00Z,4.5,8.0,True
KentaviousCaldwell-Pope,REB,1.71,3.5,Under,ind,den,3186534602,2022-11-10T00:40:00Z,4.5,8.0,False
MichaelPorter Jr.,PTS,1.86,16.5,Over,ind,den,3186534599,2022-11-10T00:40:00Z,0.5,17.0,True
MichaelPorter Jr.,PTS,1.93,16.5,Under,ind,den,3186534603,2022-11-10T00:40:00Z,0.5,17.0,False
BuddyHield,3PM,1.85,3.5,Over,ind,den,3186534653,2022-11-10T00:40:00Z,1.5,2.0,False
BuddyHield,3PM,1.94,3.5,Under,ind,den,3186534658,2022-11-10T00:40:00Z,1.5,2.0,True
