,OPP,Result,MIN,FG%,3P%,FT%,REB,AST,BLK,STL,PF,TO,PTS,FGM,FGA,3PM,3PA,FTM,FTA,type,Date,season_id,player_id,player_name,team
5,WSH,L125-118,36.0,53.3,33.3,0.0,6.0,7.0,1.0,2.0,0.0,4.0,19.0,8.0,15.0,3.0,9.0,0.0,0.0,away,2019-11-22,2019,3133601,Devonte'Graham,no
6,BKN,L101-91,38.0,31.3,40.0,75.0,3.0,6.0,0.0,0.0,0.0,5.0,17.0,5.0,16.0,4.0,10.0,3.0,4.0,away,2019-11-20,2019,3133601,Devonte'Graham,no
7,TOR,L132-96,26.0,44.4,42.9,0.0,2.0,5.0,0.0,1.0,2.0,4.0,11.0,4.0,9.0,3.0,7.0,0.0,0.0,away,2019-11-18,2019,3133601,Devonte'Graham,no
8,NY,W103-102,36.0,52.6,56.3,0.0,4.0,2.0,0.0,0.0,2.0,5.0,29.0,10.0,19.0,9.0,16.0,0.0,0.0,away,2019-11-16,2019,3133601,Devonte'Graham,no
9,DET,W109-106,38.0,34.8,16.7,0.0,5.0,10.0,0.0,0.0,2.0,1.0,18.0,8.0,23.0,2.0,12.0,0.0,0.0,home,2019-11-15,2019,3133601,Devonte'Graham,no
10,MEM,L119-117,34.0,36.8,40.0,100.0,1.0,4.0,1.0,0.0,2.0,5.0,19.0,7.0,19.0,4.0,10.0,1.0,1.0,home,2019-11-13,2019,3133601,Devonte'Graham,no
11,PHI,L114-106,34.0,40.0,50.0,75.0,0.0,10.0,0.0,1.0,1.0,2.0,19.0,6.0,15.0,4.0,8.0,3.0,4.0,away,2019-11-10,2019,3133601,Devonte'Graham,no
12,NO,L115-110,31.0,35.7,40.0,76.9,5.0,10.0,0.0,2.0,2.0,4.0,24.0,5.0,14.0,4.0,10.0,10.0,13.0,home,2019-11-09,2019,3133601,Devonte'Graham,no
13,BOS,L108-87,30.0,35.7,20.0,60.0,4.0,9.0,0.0,2.0,3.0,2.0,15.0,5.0,14.0,2.0,10.0,3.0,5.0,home,2019-11-07,2019,3133601,Devonte'Graham,no
14,IND,W122-120 OT,42.0,47.6,44.4,73.3,4.0,6.0,0.0,3.0,2.0,2.0,35.0,10.0,21.0,4.0,9.0,11.0,15.0,home,2019-11-05,2019,3133601,Devonte'Graham,no
15,GS,W93-87,31.0,12.5,0.0,100.0,8.0,3.0,0.0,1.0,0.0,5.0,4.0,1.0,8.0,0.0,3.0,2.0,2.0,away,2019-11-02,2019,3133601,Devonte'Graham,no
0,SAC,W118-111,31.0,57.1,40.0,100.0,5.0,9.0,0.0,0.0,1.0,3.0,12.0,4.0,7.0,2.0,5.0,2.0,2.0,away,2019-10-30,2019,3133601,Devonte'Graham,no
1,LAC,L111-96,32.0,45.5,33.3,100.0,1.0,12.0,1.0,0.0,2.0,3.0,14.0,5.0,11.0,2.0,6.0,2.0,2.0,away,2019-10-28,2019,3133601,Devonte'Graham,no
2,LAL,L120-101,28.0,7.7,16.7,100.0,3.0,5.0,0.0,0.0,1.0,1.0,9.0,1.0,13.0,1.0,6.0,6.0,6.0,away,2019-10-27,2019,3133601,Devonte'Graham,no
3,MIN,L121-99,28.0,53.3,66.7,50.0,2.0,4.0,0.0,0.0,3.0,3.0,24.0,8.0,15.0,6.0,9.0,2.0,4.0,home,2019-10-25,2019,3133601,Devonte'Graham,no
4,CHI,W126-125,27.0,77.8,85.7,100.0,4.0,8.0,0.0,0.0,3.0,1.0,23.0,7.0,9.0,6.0,7.0,3.0,3.0,home,2019-10-23,2019,3133601,Devonte'Graham,no
0,DET,L116-110,27.0,75.0,33.3,0.0,3.0,4.0,0.0,2.0,3.0,5.0,13.0,6.0,8.0,1.0,3.0,0.0,2.0,home,2019-10-16,2019,3133601,Devonte'Graham,no
1,MEM,W120-99,25.0,60.0,66.7,100.0,7.0,5.0,0.0,0.0,1.0,2.0,18.0,6.0,10.0,4.0,6.0,2.0,2.0,away,2019-10-14,2019,3133601,Devonte'Graham,no
