,OPP,Result,MIN,FG%,3P%,FT%,REB,AST,BLK,STL,PF,TO,PTS,FGM,FGA,3PM,3PA,FTM,FTA,type,Date,season_id,player_id,player_name,team
0,NO,W126-112,23.0,44.4,33.3,80.0,0.0,4.0,1.0,0.0,0.0,3.0,14.0,4.0,9.0,2.0,6.0,4.0,5.0,away,2021-01-30,2020,3431,EricGordon,hou
1,POR,W104-101,30.0,18.2,28.6,100.0,4.0,1.0,1.0,0.0,2.0,4.0,8.0,2.0,11.0,2.0,7.0,2.0,2.0,home,2021-01-28,2020,3431,EricGordon,hou
2,WSH,W107-88,29.0,46.2,28.6,85.7,2.0,4.0,0.0,1.0,1.0,2.0,20.0,6.0,13.0,2.0,7.0,6.0,7.0,home,2021-01-26,2020,3431,EricGordon,hou
3,DAL,W133-108,30.0,58.8,66.7,77.8,3.0,2.0,0.0,0.0,1.0,2.0,33.0,10.0,17.0,6.0,9.0,7.0,9.0,away,2021-01-23,2020,3431,EricGordon,hou
4,DET,W103-102,36.0,40.0,16.7,77.8,1.0,3.0,0.0,0.0,3.0,2.0,20.0,6.0,15.0,1.0,6.0,7.0,9.0,away,2021-01-22,2020,3431,EricGordon,hou
5,PHX,L109-103,34.0,45.0,42.9,50.0,2.0,2.0,0.0,0.0,0.0,1.0,22.0,9.0,20.0,3.0,7.0,1.0,2.0,home,2021-01-20,2020,3431,EricGordon,hou
6,CHI,L125-120,34.0,52.9,42.9,0.0,2.0,4.0,0.0,0.0,0.0,1.0,21.0,9.0,17.0,3.0,7.0,0.0,1.0,away,2021-01-18,2020,3431,EricGordon,hou
7,LAL,L117-100,21.0,50.0,37.5,0.0,0.0,2.0,1.0,1.0,1.0,0.0,13.0,5.0,10.0,3.0,8.0,0.0,0.0,home,2021-01-12,2020,3431,EricGordon,hou
8,LAL,L120-102,22.0,25.0,0.0,50.0,2.0,1.0,0.0,0.0,2.0,4.0,4.0,1.0,4.0,0.0,2.0,2.0,4.0,home,2021-01-10,2020,3431,EricGordon,hou
9,ORL,W132-90,19.0,40.0,25.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,5.0,2.0,5.0,1.0,4.0,0.0,0.0,home,2021-01-08,2020,3431,EricGordon,hou
