player_ESPN,bet_type,odds,line,over_under,home,away,bet_id,closed_date
MasonPlumlee,AST,1.96,3.5,Over,cha,por,3186671153,2022-11-10T00:41:10Z
MasonPlumlee,AST,1.83,3.5,Under,cha,por,3186671155,2022-11-10T00:41:10Z
P.J.Washington,AST,2.43,2.5,Over,cha,por,3186671158,2022-11-10T00:41:10Z
P.J.Washington,AST,1.55,2.5,Under,cha,por,3186671163,2022-11-10T00:41:10Z
MasonPlumlee,REB,1.77,7.5,Over,cha,por,3186671164,2022-11-10T00:41:10Z
MasonPlumlee,REB,2.04,7.5,Under,cha,por,3186671173,2022-11-10T00:41:10Z
KellyOubre Jr.,REB,2.23,4.5,Over,cha,por,3186671167,2022-11-10T00:41:10Z
KellyOubre Jr.,REB,1.65,4.5,Under,cha,por,3186671177,2022-11-10T00:41:10Z
KellyOubre Jr.,3PM,1.7,2.5,Over,cha,por,3186671172,2022-11-10T00:41:10Z
KellyOubre Jr.,3PM,2.12,2.5,Under,cha,por,3186671183,2022-11-10T00:41:10Z
P.J.Washington,REB,2.18,5.5,Over,cha,por,3186671176,2022-11-10T00:41:10Z
P.J.Washington,REB,1.67,5.5,Under,cha,por,3186671185,2022-11-10T00:41:10Z
KellyOubre Jr.,ARP,1.79,22.5,Over,cha,por,3186671190,2022-11-10T00:41:10Z
KellyOubre Jr.,ARP,2.0,22.5,Under,cha,por,3186671192,2022-11-10T00:41:10Z
MasonPlumlee,PTS,1.77,7.5,Over,cha,por,3186671308,2022-11-10T00:41:10Z
MasonPlumlee,PTS,2.02,7.5,Under,cha,por,3186671311,2022-11-10T00:41:10Z
P.J.Washington,PTS,1.9,15.5,Over,cha,por,3186671310,2022-11-10T00:41:10Z
P.J.Washington,PTS,1.88,15.5,Under,cha,por,3186671313,2022-11-10T00:41:10Z
P.J.Washington,3PM,2.48,2.5,Over,cha,por,3186671316,2022-11-10T00:41:10Z
P.J.Washington,3PM,1.53,2.5,Under,cha,por,3186671319,2022-11-10T00:41:10Z
TerryRozier,REB,1.86,4.5,Over,cha,por,3186671318,2022-11-10T00:41:10Z
TerryRozier,REB,1.93,4.5,Under,cha,por,3186671320,2022-11-10T00:41:10Z
TerryRozier,3PM,2.05,3.5,Over,cha,por,3186671321,2022-11-10T00:41:10Z
TerryRozier,3PM,1.75,3.5,Under,cha,por,3186671322,2022-11-10T00:41:10Z
TerryRozier,AST,1.94,5.5,Over,cha,por,3186671337,2022-11-10T00:41:10Z
TerryRozier,AST,1.85,5.5,Under,cha,por,3186671338,2022-11-10T00:41:10Z
TerryRozier,ARP,1.97,33.5,Over,cha,por,3186671339,2022-11-10T00:41:10Z
TerryRozier,ARP,1.82,33.5,Under,cha,por,3186671341,2022-11-10T00:41:10Z
MasonPlumlee,ARP,1.97,19.5,Over,cha,por,3186671342,2022-11-10T00:41:10Z
MasonPlumlee,ARP,1.82,19.5,Under,cha,por,3186671344,2022-11-10T00:41:10Z
P.J.Washington,ARP,2.0,23.5,Over,cha,por,3186673011,2022-11-10T00:41:10Z
P.J.Washington,ARP,1.79,23.5,Under,cha,por,3186673012,2022-11-10T00:41:10Z
TerryRozier,PTS,1.84,22.5,Over,cha,por,3186867502,2022-11-10T00:41:10Z
TerryRozier,PTS,1.94,22.5,Under,cha,por,3186867503,2022-11-10T00:41:10Z
KellyOubre Jr.,PTS,1.88,17.5,Over,cha,por,3186934237,2022-11-10T00:41:10Z
KellyOubre Jr.,PTS,1.9,17.5,Under,cha,por,3186934238,2022-11-10T00:41:10Z
JamalMurray,REB,1.96,3.5,Over,ind,den,3186534292,2022-11-10T00:40:00Z
JamalMurray,REB,1.82,3.5,Under,ind,den,3186534323,2022-11-10T00:40:00Z
AaronGordon,ARP,2.0,22.5,Over,ind,den,3186534296,2022-11-10T00:40:00Z
AaronGordon,ARP,1.79,22.5,Under,ind,den,3186534327,2022-11-10T00:40:00Z
AaronGordon,AST,2.4,2.5,Over,ind,den,3186534298,2022-11-10T00:40:00Z
AaronGordon,AST,1.56,2.5,Under,ind,den,3186534331,2022-11-10T00:40:00Z
JamalMurray,AST,1.8,4.5,Over,ind,den,3186534300,2022-11-10T00:40:00Z
JamalMurray,AST,1.98,4.5,Under,ind,den,3186534332,2022-11-10T00:40:00Z
AaronGordon,REB,1.7,5.5,Over,ind,den,3186534302,2022-11-10T00:40:00Z
AaronGordon,REB,2.14,5.5,Under,ind,den,3186534333,2022-11-10T00:40:00Z
JamalMurray,ARP,1.8,27.5,Over,ind,den,3186534306,2022-11-10T00:40:00Z
JamalMurray,ARP,2.0,27.5,Under,ind,den,3186534337,2022-11-10T00:40:00Z
MichaelPorter Jr.,REB,2.16,7.5,Over,ind,den,3186534310,2022-11-10T00:40:00Z
MichaelPorter Jr.,REB,1.68,7.5,Under,ind,den,3186534342,2022-11-10T00:40:00Z
KentaviousCaldwell-Pope,AST,2.08,2.5,Over,ind,den,3186534312,2022-11-10T00:40:00Z
KentaviousCaldwell-Pope,AST,1.73,2.5,Under,ind,den,3186534345,2022-11-10T00:40:00Z
KentaviousCaldwell-Pope,PTS,1.9,11.5,Over,ind,den,3186534362,2022-11-10T00:40:00Z
KentaviousCaldwell-Pope,PTS,1.88,11.5,Under,ind,den,3186534389,2022-11-10T00:40:00Z
AaronGordon,PTS,1.82,13.5,Over,ind,den,3186534365,2022-11-10T00:40:00Z
AaronGordon,PTS,1.97,13.5,Under,ind,den,3186534393,2022-11-10T00:40:00Z
KentaviousCaldwell-Pope,3PM,2.4,2.5,Over,ind,den,3186534371,2022-11-10T00:40:00Z
KentaviousCaldwell-Pope,3PM,1.56,2.5,Under,ind,den,3186534399,2022-11-10T00:40:00Z
JamalMurray,3PM,2.32,2.5,Over,ind,den,3186534373,2022-11-10T00:40:00Z
JamalMurray,3PM,1.6,2.5,Under,ind,den,3186534402,2022-11-10T00:40:00Z
MichaelPorter Jr.,3PM,1.61,2.5,Over,ind,den,3186534383,2022-11-10T00:40:00Z
MichaelPorter Jr.,3PM,2.28,2.5,Under,ind,den,3186534411,2022-11-10T00:40:00Z
KentaviousCaldwell-Pope,ARP,1.92,17.5,Over,ind,den,3186534551,2022-11-10T00:40:00Z
KentaviousCaldwell-Pope,ARP,1.86,17.5,Under,ind,den,3186534553,2022-11-10T00:40:00Z
NikolaJokic,ARP,1.86,44.5,Over,ind,den,3186534552,2022-11-10T00:40:00Z
NikolaJokic,ARP,1.93,44.5,Under,ind,den,3186534555,2022-11-10T00:40:00Z
NikolaJokic,REB,1.85,11.5,Over,ind,den,3186534557,2022-11-10T00:40:00Z
NikolaJokic,REB,1.93,11.5,Under,ind,den,3186534561,2022-11-10T00:40:00Z
NikolaJokic,AST,1.74,8.5,Over,ind,den,3186534559,2022-11-10T00:40:00Z
NikolaJokic,AST,2.07,8.5,Under,ind,den,3186534564,2022-11-10T00:40:00Z
NikolaJokic,PTS,1.81,23.5,Over,ind,den,3186534563,2022-11-10T00:40:00Z
NikolaJokic,PTS,1.98,23.5,Under,ind,den,3186534566,2022-11-10T00:40:00Z
JamalMurray,PTS,1.88,19.5,Over,ind,den,3186534567,2022-11-10T00:40:00Z
JamalMurray,PTS,1.9,19.5,Under,ind,den,3186534568,2022-11-10T00:40:00Z
AaronGordon,3PM,1.55,0.5,Over,ind,den,3186534582,2022-11-10T00:40:00Z
AaronGordon,3PM,2.43,0.5,Under,ind,den,3186534583,2022-11-10T00:40:00Z
MichaelPorter Jr.,ARP,1.96,25.5,Over,ind,den,3186534592,2022-11-10T00:40:00Z
MichaelPorter Jr.,ARP,1.82,25.5,Under,ind,den,3186534594,2022-11-10T00:40:00Z
KentaviousCaldwell-Pope,REB,2.12,3.5,Over,ind,den,3186534598,2022-11-10T00:40:00Z
KentaviousCaldwell-Pope,REB,1.71,3.5,Under,ind,den,3186534602,2022-11-10T00:40:00Z
MichaelPorter Jr.,PTS,1.86,16.5,Over,ind,den,3186534599,2022-11-10T00:40:00Z
MichaelPorter Jr.,PTS,1.93,16.5,Under,ind,den,3186534603,2022-11-10T00:40:00Z
BuddyHield,3PM,1.85,3.5,Over,ind,den,3186534653,2022-11-10T00:40:00Z
BuddyHield,3PM,1.94,3.5,Under,ind,den,3186534658,2022-11-10T00:40:00Z
TyreseHaliburton,REB,1.87,4.5,Over,ind,den,3186534657,2022-11-10T00:40:00Z
TyreseHaliburton,REB,1.91,4.5,Under,ind,den,3186534665,2022-11-10T00:40:00Z
TyreseHaliburton,3PM,2.02,2.5,Over,ind,den,3186534664,2022-11-10T00:40:00Z
TyreseHaliburton,3PM,1.78,2.5,Under,ind,den,3186534674,2022-11-10T00:40:00Z
TyreseHaliburton,PTS,1.96,20.5,Over,ind,den,3186534666,2022-11-10T00:40:00Z
TyreseHaliburton,PTS,1.82,20.5,Under,ind,den,3186534675,2022-11-10T00:40:00Z
BuddyHield,AST,1.71,3.5,Over,ind,den,3186534670,2022-11-10T00:40:00Z
BuddyHield,AST,2.1,3.5,Under,ind,den,3186534678,2022-11-10T00:40:00Z
TyreseHaliburton,AST,1.86,9.5,Over,ind,den,3186534671,2022-11-10T00:40:00Z
TyreseHaliburton,AST,1.92,9.5,Under,ind,den,3186534679,2022-11-10T00:40:00Z
TyreseHaliburton,ARP,1.86,34.5,Over,ind,den,3186534766,2022-11-10T00:40:00Z
TyreseHaliburton,ARP,1.93,34.5,Under,ind,den,3186534768,2022-11-10T00:40:00Z
MylesTurner,REB,2.04,7.5,Over,ind,den,3186534777,2022-11-10T00:40:00Z
MylesTurner,REB,1.76,7.5,Under,ind,den,3186534778,2022-11-10T00:40:00Z
MylesTurner,3PM,1.95,1.5,Over,ind,den,3186534781,2022-11-10T00:40:00Z
MylesTurner,3PM,1.83,1.5,Under,ind,den,3186534782,2022-11-10T00:40:00Z
MylesTurner,ARP,1.8,24.5,Over,ind,den,3186535006,2022-11-10T00:40:00Z
MylesTurner,ARP,1.98,24.5,Under,ind,den,3186535008,2022-11-10T00:40:00Z
