Rk,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A▲,NRtg/A
1,Los Angeles Lakers,W,P,42,30,.583,2.79,110.52,107.84,2.68,2.76,110.28,107.60,2.67
2,Philadelphia 76ers,E,A,49,23,.681,5.58,114.13,108.51,5.62,5.28,113.96,108.66,5.30
3,New York Knicks,E,A,41,31,.569,2.31,111.38,108.97,2.41,2.13,111.23,109.01,2.21
4,Utah Jazz,W,NW,52,20,.722,9.25,118.42,108.94,9.48,8.96,118.23,109.04,9.20
5,Golden State Warriors,W,P,39,33,.542,1.06,111.74,110.65,1.09,1.10,111.61,110.47,1.14
6,Memphis Grizzlies,W,SW,38,34,.528,1.03,112.77,111.77,1.00,1.07,112.69,111.63,1.06
7,Miami Heat,E,SE,40,32,.556,0.03,112.12,111.98,0.13,-0.06,112.09,112.06,0.03
8,Phoenix Suns,W,P,51,21,.708,5.82,118.01,112.14,5.87,5.67,117.96,112.22,5.74
9,Los Angeles Clippers,W,P,47,25,.653,6.18,118.39,112.13,6.26,6.02,118.34,112.23,6.11
10,Milwaukee Bucks,E,C,46,26,.639,5.89,117.68,112.03,5.65,5.57,117.67,112.34,5.33
11,Chicago Bulls,E,C,31,41,.431,-0.89,111.90,112.81,-0.91,-0.94,111.90,112.87,-0.97
12,Indiana Pacers,E,C,34,38,.472,-0.04,112.98,112.96,0.02,-0.12,112.99,113.07,-0.08
13,Denver Nuggets,W,NW,47,25,.653,4.93,118.04,113.01,5.03,4.82,118.02,113.10,4.92
14,San Antonio Spurs,W,SW,33,39,.458,-1.74,111.61,113.35,-1.74,-1.58,111.59,113.17,-1.57
15,Boston Celtics,E,A,36,36,.500,1.46,114.66,113.29,1.37,1.32,114.69,113.47,1.22
16,Detroit Pistons,E,C,20,52,.278,-4.47,108.90,113.53,-4.63,-4.38,108.93,113.48,-4.55
17,Toronto Raptors,E,A,27,45,.375,-0.47,112.96,113.44,-0.48,-0.54,113.00,113.55,-0.56
18,Washington Wizards,E,SE,34,38,.472,-1.83,111.75,113.63,-1.88,-1.84,111.79,113.69,-1.91
19,Charlotte Hornets,E,SE,33,39,.458,-1.93,111.62,113.69,-2.07,-1.94,111.66,113.75,-2.08
20,Dallas Mavericks,W,SW,42,30,.583,2.26,116.16,113.79,2.37,2.26,116.18,113.80,2.38
21,Atlanta Hawks,E,SE,41,31,.569,2.32,116.28,113.89,2.38,2.14,116.33,114.14,2.19
22,Oklahoma City Thunder,W,NW,22,50,.306,-10.64,104.32,114.80,-10.48,-10.13,104.36,114.32,-9.96
23,New Orleans Pelicans,W,SW,31,41,.431,-0.29,114.47,114.78,-0.32,-0.20,114.52,114.73,-0.21
24,Brooklyn Nets,E,A,48,24,.667,4.50,118.91,114.40,4.52,4.24,119.00,114.76,4.24
25,Orlando Magic,E,SE,21,51,.292,-9.31,105.74,115.22,-9.48,-9.02,105.83,115.03,-9.20
26,Minnesota Timberwolves,W,NW,23,49,.319,-5.56,110.18,115.55,-5.36,-5.25,110.26,115.31,-5.05
27,Houston Rockets,W,SW,17,55,.236,-7.90,107.85,115.69,-7.84,-7.50,107.93,115.35,-7.42
28,Cleveland Cavaliers,E,C,22,50,.306,-8.44,106.85,115.65,-8.80,-8.19,106.96,115.51,-8.55
29,Portland Trail Blazers,W,NW,42,30,.583,1.79,118.28,116.58,1.70,1.80,118.42,116.68,1.73
30,Sacramento Kings,W,P,31,41,.431,-3.68,114.40,118.00,-3.60,-3.45,114.59,117.94,-3.36
