Rk,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A▲,NRtg/A
1,Milwaukee Bucks,E,C,56,17,.767,10.08,112.98,103.36,9.62,9.41,112.69,103.73,8.96
2,Toronto Raptors,E,A,53,19,.736,6.24,112.02,105.85,6.18,5.97,111.99,106.08,5.90
3,Los Angeles Lakers,W,P,52,19,.732,5.79,112.78,107.14,5.65,6.28,112.83,106.68,6.16
4,Los Angeles Clippers,W,P,49,23,.681,6.44,114.66,108.25,6.41,6.66,114.56,107.94,6.62
5,Boston Celtics,E,A,48,24,.667,6.31,114.14,107.79,6.35,5.83,114.01,108.15,5.86
6,Indiana Pacers,E,C,45,28,.616,1.96,110.90,108.77,2.12,1.63,110.94,109.17,1.77
7,Oklahoma City Thunder,W,NW,44,28,.611,1.99,111.74,109.66,2.09,2.32,111.74,109.32,2.42
8,Philadelphia 76ers,E,A,43,30,.589,2.38,112.09,109.77,2.32,2.25,112.15,109.97,2.18
9,Orlando Magic,E,SE,33,40,.452,-1.01,109.10,110.28,-1.18,-0.93,109.18,110.27,-1.09
10,Utah Jazz,W,NW,44,28,.611,2.47,113.14,110.48,2.66,2.52,113.09,110.38,2.71
11,Houston Rockets,W,SW,44,28,.611,2.96,113.71,110.82,2.89,3.13,113.68,110.59,3.08
12,Brooklyn Nets,E,A,35,37,.486,-0.57,109.68,110.25,-0.57,-1.01,109.63,110.64,-1.01
13,Memphis Grizzlies,W,SW,34,39,.466,-1.07,109.97,110.91,-0.94,-0.91,109.87,110.65,-0.78
14,Miami Heat,E,SE,44,29,.603,2.95,113.29,110.36,2.93,2.59,113.22,110.65,2.58
15,Chicago Bulls,E,C,22,43,.338,-3.08,107.60,110.74,-3.14,-4.00,107.22,111.29,-4.07
16,Denver Nuggets,W,NW,46,27,.630,2.11,114.06,111.90,2.15,2.35,114.06,111.66,2.40
17,Phoenix Suns,W,P,34,39,.466,0.22,112.38,112.27,0.11,0.56,112.41,111.94,0.47
18,New Orleans Pelicans,W,SW,30,42,.417,-1.29,111.42,112.62,-1.20,-0.55,111.73,112.18,-0.46
19,Dallas Mavericks,W,SW,43,32,.573,4.95,117.50,112.53,4.97,4.87,117.41,112.52,4.90
20,Sacramento Kings,W,P,31,41,.431,-2.04,111.09,113.03,-1.94,-1.59,111.17,112.65,-1.48
21,Minnesota Timberwolves,W,NW,19,45,.297,-4.30,108.91,113.03,-4.12,-4.02,108.90,112.73,-3.83
22,New York Knicks,E,A,21,45,.318,-6.45,107.10,113.52,-6.42,-6.72,106.91,113.60,-6.70
23,San Antonio Spurs,W,SW,32,39,.451,-1.11,112.98,114.17,-1.20,-0.65,113.13,113.86,-0.73
24,Golden State Warriors,W,P,15,50,.231,-8.71,105.93,114.66,-8.74,-8.12,105.98,114.11,-8.13
25,Detroit Pistons,E,C,20,46,.303,-3.56,109.96,113.59,-3.63,-4.38,109.77,114.23,-4.45
26,Charlotte Hornets,E,SE,23,42,.354,-6.75,107.32,114.21,-6.89,-7.04,107.38,114.56,-7.18
27,Portland Trail Blazers,W,NW,35,39,.473,-1.15,114.26,115.41,-1.15,-0.61,114.48,115.09,-0.61
28,Atlanta Hawks,E,SE,20,47,.299,-7.97,107.86,115.47,-7.61,-7.71,108.18,115.56,-7.37
29,Cleveland Cavaliers,E,C,19,46,.292,-7.89,108.14,116.20,-8.05,-7.77,108.46,116.41,-7.94
30,Washington Wizards,E,SE,25,47,.347,-4.67,111.69,116.16,-4.46,-5.24,111.64,116.70,-5.05
